"","participantID","UV.Instruk.x","Reihenfolge.x","RT1.parallel.inkomp","RT1.parallel.komp","RT1.seriell.inkomp","RT1.seriell.komp","RT2.parallel.inkomp","RT2.parallel.komp","RT2.seriell.inkomp","RT2.seriell.komp","UV.Instruk.y","Reihenfolge.y","FehlerQuote1.parallel.inkomp","FehlerQuote1.parallel.komp","FehlerQuote1.seriell.inkomp","FehlerQuote1.seriell.komp","FehlerQuote2.parallel.inkomp","FehlerQuote2.parallel.komp","FehlerQuote2.seriell.inkomp","FehlerQuote2.seriell.komp","FehlerR1.parallel.inkomp","FehlerR1.parallel.komp","FehlerR1.seriell.inkomp","FehlerR1.seriell.komp","FehlerR2.parallel.inkomp","FehlerR2.parallel.komp","FehlerR2.seriell.inkomp","FehlerR2.seriell.komp"
"1","A01","ACT","SerPar",0.861556571186126,0.660713949999556,0.905711262294838,0.747973763793887,1.00696762203327,0.780567535484865,1.10397543934494,0.936280393102136,"ACT","SerPar",0.046875,0,0.046875,0.03125,0.078125,0.03125,0.046875,0.0625,3,0,3,2,5,2,3,4
"2","A02","INH","parSer",0.841254460656363,0.659043366101549,0.701631934920673,0.628607029032155,0.96776363278618,0.813087325422064,0.991993755555576,0.917383722580487,"INH","parSer",0.015625,0,0.015625,0,0.03125,0.078125,0,0.03125,1,0,1,0,2,5,0,2
"3","A03","ACT","parSer",1.14703644310292,0.846837220967685,1.1654329822587,0.840683480952441,1.21776832758694,0.910794209676932,1.2202449774202,0.892764763491753,"ACT","parSer",0.09375,0,0.03125,0,0.09375,0.03125,0.03125,0.015625,6,0,2,0,6,2,2,1
"4","A04","INH","SerPar",1.04647731587234,0.821431526984227,0.929973861291082,0.988982074193172,1.32156833968174,1.02862940793709,1.38155958709761,1.33607056935462,"INH","SerPar",0.015625,0.015625,0.03125,0.015625,0.015625,0.015625,0.015625,0.015625,1,1,2,1,1,1,1,1
"5","A07","ACT","parSer",1.33141165438601,0.912922079687462,0.971344274576133,0.810114315625185,1.35081155087704,0.916399425000236,1.1206473542375,0.927744114062534,"ACT","parSer",0.09375,0,0.046875,0,0.109375,0,0.0625,0,6,0,3,0,7,0,4,0
"6","A08","INH","SerPar",1.21481590175455,0.860883108474686,1.15386073846128,0.874495664406745,1.23304007894752,0.875915289830473,1.40848682115337,1.09959469491508,"INH","SerPar",0.09375,0.03125,0.109375,0.046875,0.09375,0.0625,0.140625,0.046875,6,2,7,3,6,4,9,3
"7","A09","ACT","SerPar",1.0491058928601,NA,1.31064852500276,NA,1.30051870714773,NA,1.69564656251168,NA,"ACT","SerPar",0.78125,0.984375,0.734375,0.984375,0.765625,0.953125,0.75,0.90625,50,63,47,63,49,61,48,58
"8","A10","INH","parSer",1.47665836038134,1.00632419137802,1.17003662807646,0.785865537704877,1.78128399245358,1.18274163792777,1.45270915965145,0.968295621311628,"INH","parSer",0.15625,0.0625,0.078125,0.03125,0.140625,0.0625,0.078125,0.03125,10,4,5,2,9,4,5,2
"9","A11","ACT","SerPar",1.03960286034572,0.712831708620672,0.999369403920319,0.872043451851587,1.1482803241414,0.82001064654544,1.5993970450968,1.27502100925819,"ACT","SerPar",0.0625,0.0625,0.15625,0.109375,0.09375,0.0625,0.109375,0.0625,4,4,10,7,6,4,7,4
"10","A12","INH","SerPar",1.88725794411114,1.7816653500033,1.81183566314193,1.65936843636551,1.70229882351465,1.61677474722577,1.48593516315726,1.40409273181153,"INH","SerPar",0.4375,0.390625,0.609375,0.53125,0.3125,0.359375,0.578125,0.484375,28,25,39,34,20,23,37,31
"11","A13","ACT","SerPar",1.28030228524347,1.19189206348355,1.16845980000549,1.11403871128231,1.67336845737653,1.54252138571252,1.50904942856512,1.42955002257405,"ACT","SerPar",0.046875,0,0.234375,0.015625,0.046875,0.015625,0.234375,0.015625,3,0,15,1,3,1,15,1
"12","A14","INH","parSer",1.67268674399704,1.42608629999226,1.6863834696456,1.34168307418792,1.88516735600075,1.59977360383178,1.87552113392615,1.48492680483257,"INH","parSer",0.171875,0.140625,0.109375,0,0.1875,0.125,0.109375,0.03125,11,9,7,0,12,8,7,2
"13","A15","ACT","SerPar",1.2590955039952,0.97282830793004,0.969900890745016,0.953327128345457,1.44038664399413,1.06337779681642,1.36055209443698,1.25894503833454,"ACT","SerPar",0.171875,0.015625,0.125,0,0.21875,0.015625,0.140625,0.0625,11,1,8,0,14,1,9,4
"14","A16","INH","parSer",1.34165087435693,0.968210633320268,1.12128335861931,0.908151814287911,1.67376531794584,1.25961362592298,1.32336427758303,1.08274242321828,"INH","parSer",0.3125,0.109375,0.0625,0.0625,0.328125,0.09375,0.09375,0.109375,20,7,4,4,21,6,6,7
"15","A17","ACT","SerPar",1.26630721887231,1.02835092983176,1.08889683333364,1.14310533816884,1.52775572263416,1.21304950000833,1.4880767947312,1.46790529817808,"ACT","SerPar",0.109375,0.046875,0.0625,0.03125,0.125,0.109375,0.046875,0.125,7,3,4,2,8,7,3,8
"16","A18","INH","SerPar",1.4660275701797,1.278707089828,1.38081971895961,1.22879951165911,1.66152870701217,1.44343834745666,1.60427611033986,1.42147784999688,"INH","SerPar",0.078125,0.046875,0.078125,0.03125,0.0625,0.046875,0.078125,0.0625,5,3,5,2,4,3,5,4
"17","A19","ACT","SerPar",1.17397846608739,0.842610982452977,1.01302935000233,0.906317189484917,1.40307785358164,0.980625999997484,1.42795572778926,1.31810044210706,"ACT","SerPar",0.09375,0.078125,0.125,0.109375,0.09375,0.078125,0.109375,0.03125,6,5,8,7,6,5,7,2
"18","V05","ACT","SerPar",0.854524691937484,0.763389565079706,1.1257669147501,0.980640160938947,1.05117302419451,0.92960123650846,1.34867281639342,1.16153141406312,"ACT","SerPar",0.03125,0.015625,0.03125,0,0.015625,0,0.03125,0,2,1,2,0,1,0,2,0
"19","V06","INH","parSer",1.02820077966366,0.81897224354813,0.891319123439644,0.741703053969624,1.3252483016981,1.05650395161149,1.3248364984388,1.1382018634934,"INH","parSer",0.0625,0.015625,0,0.015625,0.0625,0.015625,0,0,4,1,0,1,4,1,0,0
