"","participantID","UV.Instruk","Reihenfolge","RT1.parallel.inkomp","RT1.parallel.komp","RT1.seriell.inkomp","RT1.seriell.komp","RT2.parallel.inkomp","RT2.parallel.komp","RT2.seriell.inkomp","RT2.seriell.komp","FehlerQuote1.parallel.inkomp","FehlerQuote1.parallel.komp","FehlerQuote1.seriell.inkomp","FehlerQuote1.seriell.komp","FehlerQuote2.parallel.inkomp","FehlerQuote2.parallel.komp","FehlerQuote2.seriell.inkomp","FehlerQuote2.seriell.komp","FehlerR1.parallel.inkomp","FehlerR1.parallel.komp","FehlerR1.seriell.inkomp","FehlerR1.seriell.komp","FehlerR2.parallel.inkomp","FehlerR2.parallel.komp","FehlerR2.seriell.inkomp","FehlerR2.seriell.komp"
"1","A01","ACT","SerPar",0.854393229687503,0.663169292187149,0.901272006249656,0.767106395312794,1.00250114920565,0.781394230159802,1.09888313593797,0.96487891249808,0.046875,0,0.046875,0.03125,0.078125,0.03125,0.046875,0.0625,3,0,3,2,5,2,3,4
"2","A02","INH","parSer",0.838682081250908,0.663083465624595,0.701518029687577,0.626749342187622,0.966249682811849,0.811591426560881,1.00708603125008,0.915998723437497,0.015625,0,0.015625,0,0.03125,0.078125,0,0.03125,1,0,1,0,2,5,0,2
"3","A03","ACT","parSer",1.13706369218698,0.847356842187537,1.15720665156323,0.839857340625031,1.2066318000002,0.911683412499542,1.21205591406351,0.892126546874579,0.09375,0,0.03125,0,0.09375,0.03125,0.03125,0.015625,6,0,2,0,6,2,2,1
"4","A04","INH","SerPar",1.04060158437437,0.821298664062624,0.948567896826139,0.988503570312332,1.31465221718668,1.02774573906299,1.38041725238168,1.36311522968754,0.015625,0.015625,0.03125,0.015625,0.015625,0.015625,0.015625,0.015625,1,1,2,1,1,1,1,1
"5","A07","ACT","parSer",1.35335373906264,0.912922079687462,1.00248754531236,0.810114315625185,1.37160513437487,0.916399425000236,1.15803233492093,0.927744114062534,0.09375,0,0.046875,0,0.109375,0,0.0625,0,6,0,3,0,7,0,4,0
"6","A08","INH","SerPar",1.21465142903241,0.867951553968375,1.15778398281213,0.879905164062507,1.23230453548398,0.882919603174539,1.39926844354798,1.12804048749985,0.09375,0.03125,0.109375,0.046875,0.09375,0.0625,0.140625,0.046875,6,2,7,3,6,4,9,3
"7","A09","ACT","SerPar",1.11310835397388,0.770975140621886,1.26931623593919,0.949231462500393,1.40109777742257,0.965902784371793,1.59041900635283,1.21284044687945,0.78125,0.984375,0.734375,0.984375,0.765625,0.953125,0.75,0.90625,50,63,47,63,49,61,48,58
"8","A10","INH","parSer",1.51450582222536,1.030493546873,1.23290776719387,0.796175790625057,1.79185333770612,1.23461912968378,1.49243765806633,0.993555790625578,0.15625,0.0625,0.078125,0.03125,0.140625,0.0625,0.078125,0.03125,10,4,5,2,9,4,5,2
"9","A11","ACT","SerPar",1.01647704375046,0.723791963491951,0.971937471872479,0.833697849999225,1.12696707969008,0.833113444439645,1.57099502096553,1.29557443015824,0.0625,0.0625,0.15625,0.109375,0.09375,0.0625,0.109375,0.0625,4,4,10,7,6,4,7,4
"10","A12","INH","SerPar",1.96246882198611,1.89152228000108,1.63853731836734,1.6278839517971,1.83031741508836,1.73039956600173,1.52261152931545,1.43417560690332,0.4375,0.390625,0.609375,0.53125,0.3125,0.359375,0.578125,0.484375,28,25,39,34,20,23,37,31
"11","A13","ACT","SerPar",1.28996662499594,1.18557286561736,1.17195320635339,1.11297638280485,1.67274868253818,1.54097487187391,1.52067522697949,1.4325024124937,0.046875,0,0.234375,0.015625,0.046875,0.015625,0.234375,0.015625,3,0,15,1,3,1,15,1
"12","A14","INH","parSer",1.67939074917841,1.45534013967133,1.74415199194036,1.36024409218226,1.92777474576378,1.63501392256829,1.89438487627046,1.50501027030623,0.171875,0.140625,0.109375,0,0.1875,0.125,0.109375,0.03125,11,9,7,0,12,8,7,2
"13","A15","ACT","SerPar",1.34238251718853,0.970609964057076,1.01376632969186,0.953953943762826,1.4664946661327,1.06099567342972,1.40875516405686,1.25909999062606,0.171875,0.015625,0.125,0,0.21875,0.015625,0.140625,0.0625,11,1,8,0,14,1,9,4
"14","A16","INH","parSer",1.41632692062754,1.00101256249036,1.15024683437514,0.90513247031231,1.71454588196729,1.3163759687468,1.37451267968572,1.08952713437793,0.3125,0.109375,0.0625,0.0625,0.328125,0.09375,0.09375,0.109375,20,7,4,4,21,6,6,7
"15","A17","ACT","SerPar",1.33011231746429,1.03570580000451,1.08692360468922,1.13824423014866,1.56956399837884,1.21190427302287,1.52869785780786,1.43735140952511,0.109375,0.046875,0.0625,0.03125,0.125,0.109375,0.046875,0.125,7,3,4,2,8,7,3,8
"16","A18","INH","SerPar",1.51015130625819,1.26556512031311,1.35037380158125,1.21633133280557,1.65297834261809,1.43535929682687,1.57376750805903,1.41472115468605,0.078125,0.046875,0.078125,0.03125,0.0625,0.046875,0.078125,0.0625,5,3,5,2,4,3,5,4
"17","A19","ACT","SerPar",1.14388222501475,0.839558674599088,1.03020499531704,0.895464887506023,1.40537814688651,0.992883526980655,1.46133688731038,1.33519281249937,0.09375,0.078125,0.125,0.109375,0.09375,0.078125,0.109375,0.03125,6,5,8,7,6,5,7,2
"18","V05","ACT","SerPar",0.863609544446393,0.764880309375258,1.12334175155866,0.980640160938947,1.0613558781256,0.941117917187966,1.37377789047674,1.16153141406312,0.03125,0.015625,0.03125,0,0.015625,0,0.03125,0,2,1,2,0,1,0,2,0
"19","V06","INH","parSer",1.03443305079626,0.827588571874457,0.891319123439644,0.743802078126009,1.3525124825431,1.0704495562486,1.3248364984388,1.15185493281388,0.0625,0.015625,0,0.015625,0.0625,0.015625,0,0,4,1,0,1,4,1,0,0
